"Name","Parent","Depth","FullName"
"21","L:\","0","L:\21"
"4M","L:\","0","L:\4M"
"5S","L:\","0","L:\5S"
"Accounts","L:\","0","L:\Accounts"
"Accounts-2","L:\","0","L:\Accounts-2"
"Accounts-3","L:\","0","L:\Accounts-3"
"Accounts-Audit","L:\","0","L:\Accounts-Audit"
"Admin","L:\","0","L:\Admin"
"Administration","L:\","0","L:\Administration"
"Application","L:\","0","L:\Application"
"Application_Assembly","L:\","0","L:\Application_Assembly"
"AP_TP_TBCR","L:\","0","L:\AP_TP_TBCR"
"Assembly Procedure-IED","L:\","0","L:\Assembly Procedure-IED"
"Backup","L:\","0","L:\Backup"
"Catalogue","L:\","0","L:\Catalogue"
"CBE2","L:\","0","L:\CBE2"
"CC","L:\","0","L:\CC"
"Central Purchase","L:\","0","L:\Central Purchase"
"CI Projects backup","L:\","0","L:\CI Projects backup"
"CMM","L:\","0","L:\CMM"
"CMT","L:\","0","L:\CMT"
"CMT_Commercial","L:\","0","L:\CMT_Commercial"
"CMT_Contract management","L:\","0","L:\CMT_Contract management"
"CNC PROGRAM","L:\","0","L:\CNC PROGRAM"
"Common2","L:\","0","L:\Common2"
"Corp-Plan Marketing","L:\","0","L:\Corp-Plan Marketing"
"Corporate-Admin","L:\","0","L:\Corporate-Admin"
"Corp_Planing","L:\","0","L:\Corp_Planing"
"Costing","L:\","0","L:\Costing"
"DAM","L:\","0","L:\DAM"
"Desgin","L:\","0","L:\Desgin"
"Development","L:\","0","L:\Development"
"Digital QP","L:\","0","L:\Digital QP"
"E-Commerce","L:\","0","L:\E-Commerce"
"ED Office","L:\","0","L:\ED Office"
"EDP","L:\","0","L:\EDP"
"Electrical Actuators","L:\","0","L:\Electrical Actuators"
"ESNK","L:\","0","L:\ESNK"
"Ex_Emp_bkp","L:\","0","L:\Ex_Emp_bkp"
"F","L:\","0","L:\F"
"Flow-meter","L:\","0","L:\Flow-meter"
"Global","L:\","0","L:\Global"
"GST","L:\","0","L:\GST"
"HR","L:\","0","L:\HR"
"HR-2","L:\","0","L:\HR-2"
"I17 Assign","L:\","0","L:\I17 Assign"
"ICAT","L:\","0","L:\ICAT"
"IED & JandF","L:\","0","L:\IED & JandF"
"Industrial Relations","L:\","0","L:\Industrial Relations"
"Inward","L:\","0","L:\Inward"
"Inward_Audit","L:\","0","L:\Inward_Audit"
"ISO","L:\","0","L:\ISO"
